crop_type,phase,temp (°C),humidity (%),rain (mm),wind_speed (km/h),suggestion,category
Tomato,Germination,38,45,7,16,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,2
Brinjal,Harvest,40,47,10,19,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,2
Maize,Flowering,37,41,4,10,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Brinjal,Harvest,35,48,8,5,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Cotton,Harvest,35,41,3,17,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,2
Tomato,Flowering,34,53,3,18,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,2
Onion,Flowering,37,54,3,13,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Chili,Flowering,36,44,2,11,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Brinjal,Germination,36,41,2,14,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Millet,Harvest,37,42,4,5,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Groundnut,Vegetative,36,42,3,7,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Brinjal,Germination,39,42,0,19,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,2
Onion,Germination,40,52,0,12,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Onion,Flowering,40,51,0,17,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,2
Turmeric,Vegetative,36,40,2,14,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Brinjal,Vegetative,35,46,2,14,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Banana,Vegetative,36,48,9,9,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Tomato,Flowering,35,41,5,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Chili,Flowering,36,49,10,9,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture.,2
Turmeric,Germination,36,40,2,7,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Brinjal,Flowering,38,55,1,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Cotton,Germination,39,41,2,8,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Cotton,Harvest,37,53,2,11,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Chili,Flowering,35,42,0,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Turmeric,Flowering,40,49,4,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Onion,Flowering,34,42,7,5,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Cotton,Harvest,34,50,5,5,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Chili,Flowering,39,52,5,14,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Tomato,Germination,39,42,6,11,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Onion,Flowering,38,50,8,14,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Brinjal,Harvest,34,49,4,9,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Paddy,Flowering,35,51,10,9,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently.,2
Millet,Flowering,35,54,0,10,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Banana,Germination,39,45,7,13,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Groundnut,Vegetative,40,54,9,15,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Tomato,Flowering,37,40,3,18,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,2
Turmeric,Vegetative,34,43,8,9,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Turmeric,Harvest,39,48,4,5,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High temperature may cause heat stress. Apply irrigation in the early morning or late evening. Low humidity may lead to transpiration stress. Consider using mulch to retain soil moisture. Low rainfall requires supplemental irrigation. Use drip systems to conserve water effectively.,2
Turmeric,Flowering,25,81,70,5,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Onion,Germination,23,83,42,9,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Turmeric,Vegetative,20,77,56,15,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Cotton,Flowering,24,75,42,5,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Sugarcane,Germination,21,84,66,17,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Maize,Flowering,27,82,60,11,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Cotton,Harvest,24,83,55,11,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Banana,Harvest,20,79,66,14,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Onion,Vegetative,24,84,41,19,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Maize,Flowering,22,83,46,13,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Turmeric,Harvest,25,84,51,6,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Paddy,Harvest,26,78,65,14,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Sugarcane,Harvest,26,78,43,6,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,3
Groundnut,Germination,27,74,68,5,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Banana,Flowering,27,72,70,14,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Onion,Flowering,22,82,69,11,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Cotton,Harvest,23,80,55,16,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Groundnut,Vegetative,21,72,43,16,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Sugarcane,Vegetative,22,74,55,13,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Cotton,Harvest,22,73,51,19,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Onion,Flowering,21,72,64,7,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Paddy,Harvest,22,75,70,15,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Turmeric,Flowering,23,79,63,18,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Sugarcane,Vegetative,25,78,61,16,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Tomato,Flowering,20,84,50,10,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Onion,Vegetative,22,84,46,12,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Brinjal,Vegetative,21,72,57,19,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Onion,Vegetative,27,84,60,15,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Millet,Harvest,20,80,64,15,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Chili,Vegetative,23,81,69,16,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Sugarcane,Vegetative,24,72,55,8,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Cotton,Harvest,26,75,55,13,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene.,3
Onion,Harvest,27,84,53,13,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Brinjal,Vegetative,24,78,43,14,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Cotton,Germination,25,74,57,18,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Groundnut,Germination,24,73,62,16,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Maize,Vegetative,24,85,70,18,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Maize,Germination,27,71,61,15,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Maize,Harvest,22,85,62,20,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Onion,Vegetative,24,81,56,19,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Maize,Harvest,24,76,47,18,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Chili,Vegetative,23,77,40,5,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Chili,Germination,21,71,66,5,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Brinjal,Germination,21,72,47,12,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Tomato,Flowering,25,75,59,19,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Maize,Vegetative,20,71,68,16,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Turmeric,Flowering,21,74,45,20,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Sugarcane,Germination,22,78,43,17,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Brinjal,Harvest,23,83,59,15,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Cotton,Vegetative,27,77,49,10,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,3
Cotton,Germination,22,77,51,5,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Groundnut,Harvest,22,74,52,14,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Banana,Flowering,20,81,54,10,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Sugarcane,Flowering,24,75,60,9,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Cotton,Flowering,20,77,40,14,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Banana,Vegetative,27,73,70,20,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Paddy,Vegetative,24,74,60,15,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Maize,Vegetative,26,77,51,14,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues.,3
Paddy,Harvest,23,70,51,8,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Millet,Vegetative,25,80,65,20,Support rapid growth by ensuring adequate nitrogen. Monitor for early pest or weed issues. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Brinjal,Harvest,22,71,45,13,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Brinjal,Germination,27,77,67,7,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Millet,Flowering,22,73,51,18,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Banana,Germination,24,76,45,6,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Brinjal,Germination,24,70,47,14,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Tomato,Flowering,23,80,62,19,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Brinjal,Flowering,23,70,64,14,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Brinjal,Germination,21,70,70,7,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Tomato,Flowering,20,82,67,16,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Chili,Flowering,24,84,55,8,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Millet,Harvest,23,75,65,13,Prepare for timely harvest. Avoid damage from unexpected weather and maintain tool hygiene. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. Heavy rainfall may cause waterlogging. Improve drainage and avoid chemical spraying during rain.,3
Sugarcane,Germination,21,81,48,12,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
Banana,Flowering,23,77,43,7,Protect flowering structures from stress. Prevent flower drop and manage pollination efficiently. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure.,3
Chili,Germination,27,74,49,20,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Strong winds can damage crops. Use windbreaks and secure tall crops like banana or sugarcane.,3
Turmeric,Germination,27,72,45,14,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain.,3
Paddy,Germination,20,83,50,5,Ensure good soil moisture for proper seed sprouting. Avoid walking on seedbeds after rain. Cool temperature can slow down growth. Monitor for fungal infections and ensure good sunlight exposure. High humidity favors fungal diseases. Apply protective fungicides and ensure airflow between plants.,3
